aadhaar,student_name,course,year
456985352654,Rahul Sharma,B.Tech,1
456985352655,Priya Verma,B.Tech,1
456985352656,Aman Khan,B.Tech,1
456985352657,Komal Ghosh,B.Arch,2
456985352658,Anjali Reddy,B.Com,1
456985352659,Nikhil Nair,M.Tech,2
456985352660,Mohit Pandey,B.Com,4
456985352661,Tanvi Tiwari,MCA,2
456985352662,Tarun Patel,BCA,4
456985352663,Neha Reddy,BCA,1
456985352664,Aparna Chopra,BBA,3
456985352665,Rekha Patel,B.Com,1
456985352666,Suresh Patel,BCA,1
456985352667,Rajesh Khan,BBA,4
456985352668,Varun Yadav,MBA,3
456985352669,Aakash Saxena,BBA,1
456985352670,Priya Desai,BBA,2
456985352671,Sanjay Sinha,B.Sc,1
456985352672,Pallavi Ghosh,M.Tech,1
456985352673,Sanjay Mishra,BBA,2
456985352674,Anjali Khan,M.Tech,4
456985352675,Nikhil Singh,B.Sc,1
456985352676,Divya Joshi,BBA,3
456985352677,Vikram Khan,B.Arch,1
456985352678,Deepak Sharma,MBA,2
456985352679,Ritesh Gupta,B.Com,3
456985352680,Meena Shah,M.Sc,3
456985352681,Lokesh Agarwal,B.Tech,4
456985352682,Rahul Joshi,BBA,4
456985352683,Aman Malhotra,B.Arch,4
456985352684,Neha Mishra,M.Tech,3
456985352685,Manish Yadav,B.Tech,2
456985352686,Ritesh Pillai,MBA,3
456985352687,Sneha Kaur,MBA,1
456985352688,Sanjay Pillai,BCA,3
456985352689,Smita Mishra,BBA,4
456985352690,Pooja Verma,MCA,1
456985352691,Madhuri Gupta,B.Com,1
456985352692,Suresh Khan,MBA,2
456985352693,Pankaj Kaur,MCA,4
456985352694,Karan Shah,M.Sc,1
456985352695,Varun Bhat,M.Tech,4
456985352696,Tanvi Shah,M.Tech,1
456985352697,Amit Bhat,BBA,3
456985352698,Harsh Malhotra,B.Tech,1
456985352699,Sneha Sharma,MCA,3
456985352700,Lokesh Dubey,M.Sc,4
456985352701,Pallavi Sinha,B.Arch,3
456985352702,Komal Reddy,B.Sc,2
456985352703,Suresh Joshi,B.Sc,3
456985352704,Aparna Joshi,B.Com,3
456985352705,Komal Pandey,B.Sc,2
456985352706,Priyanka Chopra,B.Com,2
456985352707,Lavanya Ghosh,B.Tech,2
456985352708,Harsh Chauhan,B.Com,4
456985352709,Ritesh Agarwal,BBA,1
456985352710,Mohit Joshi,B.Com,3
456985352711,Madhuri Dubey,M.Tech,3
456985352712,Rajesh Rao,B.Tech,3
456985352713,Divya Gupta,MBA,3
456985352714,Gaurav Desai,M.Sc,1
456985352715,Rahul Chauhan,MBA,4
456985352716,Sneha Malhotra,B.Arch,1
456985352717,Shruti Pillai,B.Tech,4
456985352718,Aakash Chauhan,MCA,2
456985352719,Madhuri Gupta,BCA,1
456985352720,Ananya Sinha,BBA,2
456985352721,Aparna Gupta,M.Tech,1
456985352722,Sneha Desai,BCA,3
456985352723,Tanvi Patel,B.Tech,2
456985352724,Meena Malhotra,B.Sc,1
456985352725,Meena Pandey,MBA,4
456985352726,Manish Chauhan,B.Com,2
456985352727,Shruti Dubey,BBA,1
456985352728,Priya Shah,BCA,1
456985352729,Suresh Patil,B.Sc,2
456985352730,Yash Sinha,BBA,1
456985352731,Nisha Reddy,M.Tech,3
456985352732,Rajesh Desai,B.Sc,4
456985352733,Rekha Nair,BBA,3
456985352734,Gaurav Rao,BCA,1
456985352735,Harsh Shah,B.Sc,4
456985352736,Siddharth Khan,BBA,2
456985352737,Gaurav Desai,BBA,1
456985352738,Priyanka Sinha,M.Sc,4
456985352739,Anjali Malhotra,M.Tech,1
456985352740,Sneha Joshi,MCA,3
456985352741,Yash Khan,B.Sc,4
456985352742,Suresh Iyer,M.Tech,3
456985352743,Nikhil Kaur,MCA,2
456985352744,Riya Verma,B.Com,3
456985352745,Lokesh Ghosh,M.Tech,3
456985352746,Suresh Verma,MCA,4
456985352747,Sunita Gupta,MBA,4
456985352748,Vikram Kaur,MBA,3
456985352749,Geeta Yadav,MBA,4
456985352750,Gaurav Patel,M.Sc,4
456985352751,Smita Chauhan,BBA,2
456985352752,Nikhil Chauhan,B.Sc,2
456985352753,Manish Patel,B.Sc,1
456985352754,Shruti Joshi,BCA,3
456985352755,Ritesh Tiwari,B.Arch,2
456985352756,Ritesh Kaur,MBA,4
